name,category,budget_min_INR,budget_max_INR,address,latitude,longitude,pool,wifi,breakfast_included,parking,ac,pet_friendly,gym,spa,restaurant,front_desk_24h,family_friendly,bar,laundry_service,room_service,accessible_rooms,non_smoking_rooms
Moustache Jaisalmer,Hostel,400,2000,"Ring Rd near Fort parking, Jaisalmer",26.915,70.914,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Zostel Jaisalmer,Hostel,500,2000,"Inside Jaisalmer Fort area",26.915,70.914,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Dilbar Hostel & Safari,Hostel,300,1500,"Near Fort area, Jaisalmer",26.915,70.914,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes
Peace & Love Hostel,Hostel,500,1800,"Old City, Jaisalmer",26.916,70.915,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Open Road Hostel & Cafe,Hostel,600,2000,"City centre near Fort",26.915,70.916,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Nomadic Backpackers Hostel,Hostel,400,1500,"Near Fort and markets",26.915,70.915,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes
Hotel Shreenath Palace,Budget Hotel,800,1500,"Near Jaisalmer Fort",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Desert Boy’s Guest House,Budget,600,1200,"Old City, Jaisalmer",26.916,70.915,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Royal Haveli,Budget/Heritage,1000,2500,"Old City Haveli style",26.915,70.915,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Rang Mahal,Budget/Heritage,1500,2500,"Near Jaisalmer Fort",26.915,70.914,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
