name,category,budget_min_INR,budget_max_INR,address,latitude,longitude,pool,wifi,breakfast_included,parking,ac,pet_friendly,gym,spa,restaurant,front_desk_24h,family_friendly,bar,laundry_service,room_service,accessible_rooms,non_smoking_rooms
Footprint Hostel Udaipur,Hostel,500,2000,"Near Jagdish Temple, Udaipur",24.577,73.678,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Nomadic Hostel Udaipur,Hostel,600,2000,"Lake Pichola area, Udaipur",24.577,73.677,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Whereabout Hostel Udaipur,Hostel,550,1800,"Shastri Circle, Udaipur",24.580,73.690,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Dreamyard Udaipur,Hostel,800,2200,"Old City near Basin Bridge, Udaipur",24.577,73.683,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Multiple Stories,Hostel,700,2000,"C Scheme, Udaipur",24.580,73.690,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Udai Palace,Budget,900,1500,"Near Bus Stand, Udaipur",24.579,73.692,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Amantra Comfort Hotel,Budget,1200,2000,"Hiran Magri, Udaipur",24.565,73.700,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Fairy Mont Udaipur,Budget,1000,1800,"City Centre near Station",24.580,73.696,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel The Dee Glanc,Budget,1500,2500,"Near Railway Station",24.577,73.693,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Gyanav Hotel & Restaurant,Budget,1200,2000,"Near City Palace",24.577,73.683,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Hotel Lakend,Mid-range,6000,9500,"Fateh Sagar Lake Road",24.607,73.674,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
The Uddhav Elite,Mid-range,1500,2500,"Near Train Station",24.576,73.692,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Petal of Mewar,Boutique,3000,4500,"Lake Pichola area",24.577,73.677,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Kaladwas Lal Haveli,Heritage Boutique,3000,5000,"Old City near City Palace",24.576,73.683,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Madri Haveli,Heritage,2200,3500,"Ganesh Gati, Chandpole",24.579,73.683,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Jagat Niwas Palace,Heritage,5500,8500,"Lal Ghat, Old City",24.576,73.683,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
Shiv Niwas Palace,Heritage Luxury,10000,18000,"City Palace Complex",24.577,73.683,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Taj Fateh Prakash Palace,Luxury Heritage,25000,35000,"City Palace Complex",24.576,73.683,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Taj Lake Palace,Ultra-Luxury,24399,58797,"Jagd Niwas Island, Lake Pichola",24.5676,73.6777,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
The Leela Palace Udaipur,Luxury,28000,30000,"Hiran Magri, Udaipur",24.564,73.699,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
The Oberoi Udaivilas,Ultra-Luxury,25500,80000,"Lake Pichola Road",24.567,73.677,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Zostel Udaipur,Hostel,500,1500,"Lal Ghat near Jagdish Temple, Udaipur",24.577,73.678,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Banjara Hostel,Hostel,800,2000,"Near Jagdish Temple, Udaipur",24.577,73.678,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Turtle Hostel Udaipur,Hostel,700,1800,"Near Fateh Sagar Lake, Udaipur",24.605,73.673,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Holymont Udaipur,Hostel,800,2000,"Near Fateh Sagar, Udaipur",24.605,73.673,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
